iShares Russell 2000 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"291,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","176,144,654.40","0.22","176,144,654.40","575,185.00","306.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","175,250,504.00","0.22","175,250,504.00","612,764.00","286.00","United States","NASDAQ","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","174,066,847.88","0.22","174,066,847.88","3,720,172.00","46.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","172,727,387.38","0.22","172,727,387.38","2,154,514.00","80.17","United States","NASDAQ","USD","1.00","USD","-"
"JOBY","JOBY AVIATION INC CLASS A","Industrials","Equity","172,441,454.90","0.22","172,441,454.90","12,058,843.00","14.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GKOS","GLAUKOS CORP","Health Care","Equity","172,235,372.80","0.22","172,235,372.80","1,387,205.00","124.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","170,703,106.56","0.22","170,703,106.56","1,490,076.00","114.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","169,324,262.40","0.22","169,324,262.40","985,360.00","171.84","United States","NASDAQ","USD","1.00","USD","-"
"CWAN","CLEARWATER ANALYTICS HOLDINGS INC","Information Technology","Equity","168,150,761.16","0.21","168,150,761.16","6,911,252.00","24.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","164,040,412.19","0.21","164,040,412.19","1,551,503.00","105.73","United States","NASDAQ","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","163,870,487.40","0.21","163,870,487.40","438,978.00","373.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","162,668,231.66","0.21","162,668,231.66","887,249.00","183.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Information Technology","Equity","161,278,020.54","0.21","161,278,020.54","1,932,399.00","83.46","United States","NASDAQ","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","161,049,510.60","0.21","161,049,510.60","926,637.00","173.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT CORP","Real Estate","Equity","159,584,750.00","0.20","159,584,750.00","2,553,356.00","62.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MIR","MIRION TECHNOLOGIES INC CLASS A","Information Technology","Equity","159,501,358.64","0.20","159,501,358.64","5,955,988.00","26.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","159,175,263.52","0.20","159,175,263.52","3,204,656.00","49.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PL","PLANET LABS CLASS A","Industrials","Equity","155,787,459.32","0.20","155,787,459.32","5,905,514.00","26.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","155,603,091.68","0.20","155,603,091.68","1,445,051.00","107.68","United States","NASDAQ","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","Consumer Discretionary","Equity","154,733,797.12","0.20","154,733,797.12","2,404,192.00","64.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","152,546,947.28","0.19","152,546,947.28","4,930,412.00","30.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","152,120,569.38","0.19","152,120,569.38","765,271.00","198.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","151,340,455.75","0.19","151,340,455.75","12,234,475.00","12.37","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","150,719,950.61","0.19","150,719,950.61","150,719,951.00","1.00","United States","-","USD","1.00","USD","-"
"TXNM","TXNM ENERGY INC","Utilities","Equity","149,671,335.33","0.19","149,671,335.33","2,523,543.00","59.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","149,553,831.96","0.19","149,553,831.96","3,495,882.00","42.78","United States","NASDAQ","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS INC","Information Technology","Equity","149,299,957.50","0.19","149,299,957.50","8,655,070.00","17.25","United States","NASDAQ","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","148,549,990.86","0.19","148,549,990.86","2,146,366.00","69.21","United States","NASDAQ","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","148,212,996.96","0.19","148,212,996.96","1,544,368.00","95.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","147,087,599.22","0.19","147,087,599.22","5,091,298.00","28.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","146,272,769.52","0.19","146,272,769.52","644,487.00","226.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTCT","PTC THERAPEUTICS INC","Health Care","Equity","145,545,561.00","0.19","145,545,561.00","1,926,225.00","75.56","United States","NASDAQ","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","144,950,407.20","0.19","144,950,407.20","2,354,620.00","61.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OPCH","OPTION CARE HEALTH INC","Health Care","Equity","143,353,996.25","0.18","143,353,996.25","3,954,593.00","36.25","United States","NASDAQ","USD","1.00","USD","-"
"CIFR","CIPHER MINING INC","Information Technology","Equity","142,613,377.48","0.18","142,613,377.48","8,048,159.00","17.72","United States","NASDAQ","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","142,371,892.08","0.18","142,371,892.08","2,834,964.00","50.22","United States","NASDAQ","USD","1.00","USD","-"
"AUB","ATLANTIC UNION BANKSHARES CORP","Financials","Equity","141,484,779.96","0.18","141,484,779.96","3,538,004.00","39.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","141,355,395.58","0.18","141,355,395.58","2,812,483.00","50.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACA","ARCOSA INC","Industrials","Equity","141,141,526.50","0.18","141,141,526.50","1,203,150.00","117.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","140,557,570.56","0.18","140,557,570.56","4,774,374.00","29.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","140,057,943.20","0.18","140,057,943.20","2,376,280.00","58.94","United States","NASDAQ","USD","1.00","USD","-"
"RYTM","RHYTHM PHARMACEUTICALS INC","Health Care","Equity","138,891,762.10","0.18","138,891,762.10","1,310,918.00","105.95","United States","NASDAQ","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","137,686,005.82","0.18","137,686,005.82","1,627,879.00","84.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","137,331,834.50","0.18","137,331,834.50","1,673,350.00","82.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
